,Offense,Rate
481,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
482,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila False Identification To Law Enforcement Officer,1
483,Careless Driving Reckless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
484,Receiving Stolen Property Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/24/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active ATTORNEY INFORMATION,1
485,Conspiracy - Deliver Firearm After 48 Hours Elapsed,1
486,Recklessly Endangering Another Person Disorder Conduct Hazardous/Physi Off,1
487,Recklessly Endangering Another Person Conspiracy Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/15/2020 088887 Active Name: Brian Francis Humble Private Supreme Court No: Rep. Status: Phone Number(s): 215-501-6356 Mobile) Address: Representing: Simoes,1
488,MAURICE Filed By ATTORNEY INFORMATION ENTRIES,1
489,Invasion of Privacy - view,1
490,Receiving Stolen Property Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
491,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Unauth Use Motor/Other Vehicles Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): Address: 094774 Active Filed By ATTORNEY INFORMATION ENTRIES,1
492,Criminal Attempt - Interference W/Custody Of Children,1
493,Other Reason Access Device Is Unauth By Issuer,1
494,Corrupt Organizations Int Poss Contr Subst By Per Not Reg Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/06/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Joseph L. Coleman Private Supreme Court No: Rep. Status: Phone Number(s): 267-216-5280 215-790-1682 Address: 314867 Active (Phone) (Other) Montoya Coleman L.l.c. 100 S Broad St Ste 1216 Philadelphia,1
495,Trademark Counterfeiting - Offers for Sale,1
496,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/03/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
497,Cruelty to Animals,1
498,Carry Firearms Public In Phila Driv While Oper Priv Susp Or Revoked,1
499,Minor Prohibited/Operating W/Alcohol,1
500,Intimidate Witness/Victim - Withhold Testimony,1
501,Exceed Max Speed Lim Estb By 1 MPH,1
502,Carry Firearms Public In Phila Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/21/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
503,Marijuana-Small Amt Personal Use,1
504,Conspiracy - Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference,1
505,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Unauth Use Motor/Other Vehicles Reckless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
506,Rape of Child IDSI Threat Forcible Compulsion IDSI Person Less Than 16 Yrs Age Invol. Deivate Sexual Intercourse - Serious Bodily Inj. Agg. Ind. Assault W/O Consent Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/30/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court 02/19/2020 Dismissed - LOE Held for Court Held for Court Held for Court Held for Court Held for Court Dismissed - LOE Dismissed - LOE Dismissed - LOE Dismissed - LOE Dismissed - LOE Dismissed - LOE F2 F1 F3 F2 F1 F3 F2 F2 F2 F1,1
507,Receiving Stolen Property Simple Assault,1
508,Dangerous Burning,1
509,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/22/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Supreme Court No: Rep. Status: Phone Number(s): Filed By Bass,1
510,Rodney Filed By ATTORNEY INFORMATION ENTRIES,1
511,Firearms Not To Be Carried W/O License Int Poss Contr Subst By Per Not Reg Possession Of Firearm Prohibited Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/23/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): 215-231-9844 215-528-0033 Address: 201708 Active (Phone) (Mobile) 2 Penn Ctr Ste 1723 1500 Jfk Blvd Philadelphia,1
512,Crystal Filed By ATTORNEY INFORMATION ENTRIES,1
513,Hassan Filed By ATTORNEY INFORMATION ENTRIES,1
514,Turning Movements And Required Signals Unknown Statute Careless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/22/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Joseph Kevin Kelly Private Supreme Court No: Rep. Status: Phone Number(s): 215-426-5080 Address: 087357 Active (Phone) 2556 E Allegheny Ave Philadelphia,1
515,Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu,1
516,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
517,Simple Assault Recklessly Endangering Another Person Disorder Conduct Hazardous/Physi Off Harassment - Subject Other to Physical Contact,1
518,False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact,1
519,Duties At Stop Sign Period For Requiring Lighted Lamps Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 02/29/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Wayne Sachs Private 040433 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Sachs,1
520,Theft Unpub Drama/Music Comp,1
521,IDSI Person Less Than 16 Yrs Age,1
522,Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 02/19/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
523,Int Poss Contr Subst By Per Not Reg Corruption Of Minors,1
524,Patrick 06/02/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court 052719 Active Name: Fortunato N. Perri Jr. Private Supreme Court No: Rep. Status: Phone Number(s): 215-981-0999 Office) Address: Representing: Chavis,1
525,Recklessly Endangering Another Person Harassment - Comm. Lewd,1
526,Criminal Attempt - Theft By Unlaw Taking-Movable Prop Poss Instrument Of Crime W/Int Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/09/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court 02/24/2020 Held for Court Held for Court Held for Court Held for Court Held for Court Name: F2 F2 F2 F2 Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active ATTORNEY INFORMATION,1
527,Jan Filed By ATTORNEY INFORMATION ENTRIES,1
528,Poss Instrument Of Crime W/Int Obstruct Admin Law/Other Govt Func Recklessly Endangering Another Person Tamper With/Fabricate Physical Evidence Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/19/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Walter C. Chisholm Court Appointed 053633 Supreme Court No: Rep. Status: Phone Number(s): 215-837-7087 Address: Active (Phone) 928 E Slocum St Philadelphia,1
529,Receiving Stolen Property Criminal Attempt - Theft From A Motor Vehicle Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/31/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
530,Illegal Park Stand Double Careless Driving,1
531,Patrick Wiles,1
532,Sales Of Unstamped Cig,1
533,Duties At Stop Sign Period For Requiring Lighted Lamps,1
534,Simple Assault Recklessly Endangering Another Person False Imprisonment Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 04/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
535,Aiding Consummation Of Crime,1
536,Retail Recorded Device,1
537,Ayinde Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By ATTORNEY INFORMATION ENTRIES,1
538,Poss Instrument Of Crime W/Int Obstruct Admin Law/Other Govt Func Recklessly Endangering Another Person Tamper With/Fabricate Physical Evidence,1
539,False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/06/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
540,Fail To Carry Lic Driv While Oper Priv Susp Or Revoked Disregard Traffic Lane (Single) Turning Movements And Required Signals Unknown Statute Careless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/11/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
541,Abuse Of Corpse Tamper With/Fabricate Physical Evidence Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 01/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Joseph Todd Schultz Court Appointed 201333 Supreme Court No: Rep. Status: Phone Number(s): 215-695-5900 Address: Active (Phone) 1518 Walnut St Ste 808 Philadelphia,1
542,Criminal Attempt - Disarming Law Enforcement Officer - Without Lawful Authorization,1
543,Int Poss Contr Subst By Per Not Reg Use/Poss Of Drug Paraph Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Carrying Loaded Weapon Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/06/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): 215-817-5281 215-817-5281 Address: 203820 Active (Phone) (Office) 33 E. Marshall St. Norristown,1
544,Criminal Use Of Communication Facility Int Poss Contr Subst By Per Not Reg Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): Address: 310289 Active Filed By ATTORNEY INFORMATION ENTRIES,1
545,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/17/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
546,Recklessly Endangering Another Person Conspiracy,1
547,False Stmt to Induce Agreement for Home Improvement Services,1
548,False Imprisonment Unauth Use Motor/Other Vehicles,1
549,Conspiracy Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Unlawful Restraint/ Serious Bodily Injury Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person False Imprisonment Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 04/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
550,etc. person w/out consent,1
551,Unlawful Duplication,1
552,Conspiracy Unauth Use Motor/Other Vehicles,1
553,Sheldon ATTORNEY INFORMATION ENTRIES,1
554,Deal In Proc Unl Act/Intent To Promote Corrupt Organizations,1
555,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/22/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
556,PA 19103 Representing: Drayton,1
557,Terroristic Threats W/ Int To Terrorize Another Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/28/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Hudson,1
558,Driving at Safe Speed Restrictions on Alcoholic Beverages,1
559,Simple Assault Recklessly Endangering Another Person Illegal Racing Reckless Driving,1
560,Uses Incapacitation Device,1
561,Assault By Prisoner,1
562,Int Poss Contr Subst By Per Not Reg Unknown Statute Unknown Statute Unknown Statute Unknown Statute Unknown Statute Unknown Statute Unknown Statute Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/14/2020 F Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court F F F F F F F F3 F3 F3 F3 F3 F3 F3 F3 F3 F3 F3,1
563,Receiving Stolen Property Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Jonathan R. Altschuler Private Supreme Court No: Rep. Status: Phone Number(s): Address: 082975 Active Filed By ATTORNEY INFORMATION ENTRIES,1
564,Recklessly Endangering Another Person Disorder Conduct Hazardous/Physi Off Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/07/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Brooks,1
565,Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person,1
566,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
567,Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap,1
568,Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu,1
569,Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/22/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By Stack,1
570,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/14/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
571,Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop Accident Involv Damage Attended Vehicle/Prop,1
572,Dec Bus Pract - False/Mis Stat Pub,1
573,Terroristic Threats W/ Int To Terrorize Another Harassment - Comm. Lewd,1
574,Recklessly Endangering Another Person Unauth Use Motor/Other Vehicles,1
575,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila,1
576,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 03/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
577,Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/20/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Held for Court Held for Court Held for Court Held for Court Held for Court F2 F1 F2 F1 03/12/2020 Name: Private Supreme Court No: Rep. Status: Phone Number(s): 215-981-0999 Address: 093102 Active (Phone) McMonagle Perri Et Al 1845 Walnut St Fl 19 Philadelphia,1
578,Criminal Mischief Harassment - Subject Other to Physical Contact Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 04/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
579,Etc Causing Catastrophe Int Poss Contr Subst By Per Not Reg Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/26/2020 Proceed to Court Name: Private 040350 Active Supreme Court No: Rep. Status: Phone Number(s): 717-972-1500 Office) Address: Representing: Rivera,1
580,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 04/07/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): 215-231-9844 215-528-0033 Address: 201708 Active (Phone) (Mobile) 2 Penn Ctr Ste 1723 1500 Jfk Blvd Philadelphia,1
581,Bribery - Pecuniary Benefit,1
582,PA 19110 Representing: Johnson,1
583,Weapons of Mass Dest. - Unlawful Poss or Manu Causing Catastrophe Criminal Use Of Communication Facility Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances,1
584,Weapons of Mass Dest. - Unlawful Poss or Manu Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap,1
585,Fraudulent Use/Removal Of Reg Plate,1
586,Statutory Sexual Assault: 4-8 Years Older,1
587,Corrupt Organizations Int Poss Contr Subst By Per Not Reg,1
588,Etc. Language Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
589,Toure Filed By ATTORNEY INFORMATION ENTRIES,1
590,Careless Driving Reckless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
591,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
592,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/07/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
